"modul","semester","termin","pruefer","anzahl","bestanden","nichtBestanden","schnitt","schnittBestanden","X1_0","X1_3","X1_7","X2_0","X2_3","X2_7","X3_0","X3_3","X3_7","X4_0","X5_0","ohneNote"
1884,53,"05.07.2011","Lay",13,13,0,1.838,1.838,7.7,30.8,15.4,15.4,15.4,7.7,7.7,NA,NA,NA,NA,NA
1884,55,"16.07.2012","Lay",10,10,0,1.39,1.39,30,40,10,20,NA,NA,NA,NA,NA,NA,NA,NA
1884,56,"13.03.2013","Lay",15,14,1,2.267,2.071,6.7,26.7,13.3,13.3,6.7,13.3,NA,NA,6.7,6.7,6.7,NA
1884,58,"13.03.2014","Lay",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,58,"30.01.2014","Lay",10,9,1,2.06,1.733,10,30,20,NA,20,10,NA,NA,NA,NA,10,NA
1884,60,"16.03.2015","Lay",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2405,58,"15.10.2013","Martinez-Zarzoso",14,13,1,2.429,2.231,7.1,7.1,7.1,14.3,21.4,21.4,14.3,NA,NA,NA,7.1,NA
2405,59,"02.05.2014","Martinez-Zarzoso",15,15,0,1.793,1.793,20,6.7,13.3,33.3,26.7,NA,NA,NA,NA,NA,NA,NA
2405,60,"30.10.2014","Martinez-Zarzoso",18,13,5,2.778,1.923,NA,16.7,16.7,22.2,5.6,5.6,5.6,NA,NA,NA,27.8,NA
2405,61,"15.06.2015","Martinez-Zarzoso",20,18,2,2.07,1.744,5,25,35,5,10,10,NA,NA,NA,NA,10,NA
2405,62,"13.11.2015","Martinez-Zarzoso",19,16,3,2.7,2.269,5.3,21.1,15.8,NA,5.3,5.3,15.8,5.3,5.3,5.3,15.8,NA
3354,53,"06.07.2011","Ibanez Diaz",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,53,"15.04.2011","Ibanez Diaz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,55,"30.10.2012","Ibanez Diaz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,55,"17.10.2012","Ibanez Diaz",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3354,55,"12.07.2012","Ibanez Diaz",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
